,Name,z_burns2018_bvriC,z_burns2018_griC,EBV,EBV_err,dm15,dm15_err,MV,MV_err,bv_source_w09,Type,foundation,csp,w09,vel,vel_err,vel_source,bv_source,z,z_err,z_wang09,c_sncosmo,c_err_sncosmo,chisq,mwebv_sncosmo,mwebv_err,success,t0,t0_err,x0_sncosmo,x0_err_sncosmo,x1_sncosmo,x1_err_sncosmo,z_cosana,Name_sncosmo,Survey_sncosmo,bands,bands2,Name_upper,Name_snana,zHEL,zCMB,zHD,mwebv_snana,SNRMAX1,SNRMAX2,PKMJD,PKMJDERR,x1_snana,x1_err_snana,c_snana,c_err_snana,mB,mBERR,x0_snana,x0_err_snana,FITCHI2,x0_offset,Survey_snana,first_fitmjd
103,2005w,0.00888,0.00888,0.232,0.019,1.111,0.062,,0.006,,,FALSE,TRUE,FALSE,-10.62320959,0.220392206,local,b18,0.00888,,,0.114826427,0.021413656,146.4507321,0.061501318,0,1,53412.24766,0.032086639,0.037732389,0.000755364,-0.433249059,0.054836304,0.00888,2005w,CSP,BVgr                ,BVgir               ,SN2005W,SN2005W,0.00888,0.00888,0.00888,0.0615016,180.95613,180.95607,53412.246,0.032,-0.425073,0.0538434,0.12184,0.0211752,13.9362,0.0248419,0.0478099,0.0010939,136.61559,0.0372836,CSP,53404.039
104,2006bd,0.02571,0.02571,0.362,0.04,1.913,0.06,,0.025,,,FALSE,TRUE,FALSE,-11.207,0.428747012,csp,b18,0.02571,,,0.781799668,0.050935772,186.7855588,0.023801539,0,1,53825.80935,0.590904358,0.000386594,2.85E-05,-2.343195594,0.264028104,0.02571,2006bd,CfA3,BVr                 ,BVir                ,SN2006BD,SN2006BD,0.02571,0.02571,0.02571,0.0238017,31.02109,25.85091,53825.863,0.067,-2.40305,0.26448,0.78386,0.049892,18.92517,0.0632385,0.000482983,2.81E-05,202.10432,0.000376645,CfA3,53829.297
105,2006bt,,,0.23,0.04,1.12,0.05,-18.93,0.07,TRUE,HV,FALSE,FALSE,TRUE,-11.29694323,0.227926374,local,w09,0.032479136,,0.032479136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2006gt,0.04474,0.04474,0.081,0.019,1.645,0.061,,0.01,,,FALSE,TRUE,FALSE,-10.394,0.247782162,csp,b18,0.04474,,,0.109122908,0.02333549,164.1382145,0.032035781,0,1,54002.75185,0.114061076,0.000944912,1.90E-05,-2.111242896,0.069535002,0.04474,2006gt,CSP,BVgr                ,BVgir               ,SN2006GT,SN2006GT,0.04474,0.04474,0.04474,0.032036,120.63835,120.63828,54002.75,0.115,-2.12431,0.0692003,0.11536,0.0234571,17.93427,0.0228236,0.00120308,2.53E-05,171.46196,0.000938198,CSP,54001.172
107,2006hb,0.01533,0.01533,0.094,0.024,1.584,0.069,-18.64,0.036,TRUE,N,FALSE,FALSE,TRUE,-9.87603,0.22178,local,b18,0.01533,,0.015347284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2006mr,0.00587,0.00587,0.025,0.035,1.904,0.06,,0.02,,,FALSE,TRUE,FALSE,-10.213,0.234785008,csp,b18,0.00587,,,0.404240554,0.025448011,3435.268246,0.017981733,0,1,54051.115,0.067226535,0.01261324,0.000276479,-1.942801748,0.0539993,0.00587,2006mr,CSP,BVgr                ,BVgir               ,SN2006MR,,,,,,,,,,,,,,,,,,,,,
109,2006ot,,,,,,,,,,,FALSE,TRUE,FALSE,-13.898,0.908053413,csp,,0.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2007ai,0.03164,0.03164,0.229,0.043,0.844,0.062,,0.008,,,FALSE,TRUE,FALSE,-9.98,0.245521893,csp,b18,0.03164,,,0.159520651,0.023292598,70.10143168,0.284938502,0,1,54173.56994,0.174212494,0.002691273,5.74E-05,0.985168647,0.092674561,0.03164,2007ai,CSP,BVgr                ,BVgir               ,SN2007AI,SN2007AI,0.03164,0.03164,0.03164,0.28494,135.71706,90.47861,54173.582,0.166,0.98108,0.0912305,0.16049,0.0276549,16.79942,0.0616907,0.00342164,0.000194415,69.29713,0.002668298,CSP,54172.391
111,2007al,0.01211,0.01211,0.188,0.041,1.874,0.06,,0.044,,,FALSE,TRUE,FALSE,-9.85,0.262937255,csp,b18,0.01211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2007ax,0.00686,0.00686,0.247,0.034,1.932,0.06,,0.021,,,FALSE,TRUE,FALSE,-9.773,0.301390113,csp,b18,0.00686,,,0.517481062,0.026068235,1337.601464,0.046269746,0,1,54187.69521,0.089028591,0.00587932,0.000133127,-2.024124527,0.05905453,0.00686,2007ax,CSP,BVgr                ,BVgir               ,SN2007AX,SN2007AX,0.00686,0.00686,0.00686,0.04627,180.9563,180.95605,54187.672,0.089,-1.99996,0.0601775,0.50526,0.0270024,15.94892,0.0270508,0.00748916,0.00018659,1378.16797,0.005840272,CSP,54185.059
113,2007ba,0.03849,0.03849,0.2,0.022,1.685,0.062,,0.009,,,FALSE,TRUE,FALSE,-10.612,0.305522503,csp,b18,0.03849,,,0.267823491,0.024059682,460.8176912,0.031578131,0,1,54197.10072,0.07468188,0.001389374,2.90E-05,-2.237493822,0.063795985,0.03849,2007ba,CSP,BVgr                ,BVgir               ,SN2007BA,SN2007BA,0.03849,0.03849,0.03849,0.0315784,120.63702,120.63679,54197.102,0.075,-2.26235,0.0632581,0.27215,0.023787,17.51889,0.0234167,0.00176378,3.80E-05,487.05765,0.001375449,CSP,54190.328
