# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase between -2 and 2 and ((dm15_source > 1. and dm15_source < 1.3) or (dm15_from_fits > 1. and dm15_from_fits < 1.3)) and si_v0 < -11800
# N = 15
# N_spec = 25
# phase = -0.26
# x1 = 1.13
# vel = -14.34
# z = nan

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper        Phase       x1    Redshift    Velocity    SNe per Bin
        3426   1.78851          0.12196          0.200743     -0.558459    1.13692         nan    -14.8075              6
        3428   1.83409          0.114697         0.225572     -0.55778     1.13673         nan    -14.812               6
        3430   1.84643          0.114268         0.217952     -0.555774    1.13728         nan    -14.7997              6
        3432   1.82126          0.11055          0.18878      -0.554354    1.13761         nan    -14.7922              6
        3434   1.83748          0.130313         0.210035     -0.5536      1.13775         nan    -14.787               6
        3436   1.86222          0.139382         0.219845     -0.552887    1.13768         nan    -14.7899              6
        3438   1.88177          0.128791         0.215444     -0.5523      1.13751         nan    -14.794               6
        3440   1.8647           0.104886         0.192477     -0.551819    1.13731         nan    -14.7996              6
        3442   1.84439          0.0915228        0.170413     -0.551286    1.13734         nan    -14.7977              6
        3444   1.85281          0.0966558        0.184988     -0.55028     1.13731         nan    -14.7982              6
        3446   1.83555          0.0872432        0.143789     -0.549797    1.13723         nan    -14.7988              6
        3448   1.83272          0.0711061        0.121259     -0.549493    1.13721         nan    -14.7986              6
        3450   1.84958          0.06745          0.1171       -0.549355    1.13736         nan    -14.7933              6
        3452   1.84808          0.0631796        0.105517     -0.548725    1.13763         nan    -14.783               6
        3454   1.84352          0.0636671        0.110153     -0.548708    1.13732         nan    -14.7899              6
        3456   1.83248          0.073052         0.113466     -0.54871     1.13703         nan    -14.7952              6
        3458   1.81694          0.0605334        0.10446      -0.547961    1.13702         nan    -14.7935              6
        3460   1.84721          0.067855         0.0987267    -0.54786     1.13712         nan    -14.7878              6
        3462   1.88255          0.0624059        0.0882632    -0.547439    1.1372          nan    -14.7825              6
        3464   1.90447          0.0691829        0.105389     -0.547613    1.13731         nan    -14.7741              6
        3466   1.92912          0.0695974        0.112824     -0.548381    1.13723         nan    -14.771               6
        3468   1.93743          0.0755339        0.118678     -0.5484      1.13715         nan    -14.7676              6
        3470   1.95558          0.0627876        0.102782     -0.548482    1.13695         nan    -14.7674              6
        3472   1.97842          0.0710723        0.121535     -0.548494    1.13684         nan    -14.7655              6
        3474   1.99193          0.0820162        0.152595     -0.548492    1.13669         nan    -14.7662              6
        3476   2.00257          0.0840622        0.143307     -0.548888    1.13676         nan    -14.7585              6
        3478   2.03968          0.0782421        0.116413     -0.549112    1.1368          nan    -14.7534              6
        3480   2.00942          0.0614498        0.101305     -0.549658    1.1368          nan    -14.7464              6
        3482   2.01238          0.0677499        0.109448     -0.550024    1.13684         nan    -14.7389              6
        3484   2.01687          0.0830875        0.121317     -0.550326    1.13679         nan    -14.7351              6
        3486   2.07491          0.0879102        0.139172     -0.551074    1.13671         nan    -14.7306              6
        3488   2.12948          0.079278         0.128409     -0.551657    1.13671         nan    -14.7246              6
        3490   2.07322          0.0768128        0.105063     -0.552372    1.13665         nan    -14.7204              6
        3492   2.07751          0.0874945        0.11806      -0.552923    1.13664         nan    -14.7135              6
        3494   2.08269          0.0877534        0.122909     -0.553626    1.13692         nan    -14.6977              6
        3496   2.07632          0.0725643        0.130839     -0.554845    1.13719         nan    -14.681               6
        3498   2.07733          0.0754403        0.149573     -0.55627     1.13702         nan    -14.6769              6
        3500   2.03269          0.0793962        0.147164     -0.557619    1.13681         nan    -14.6746              6
        3502   2.03168          0.0903287        0.137197     -0.559407    1.13658         nan    -14.673               6
        3504   2.06917          0.0808589        0.136487     -0.561001    1.13654         nan    -14.6656              6
        3506   2.04331          0.0607253        0.114594     -0.562743    1.13652         nan    -14.6569              6
        3508   2.02951          0.0664579        0.132221     -0.564532    1.13633         nan    -14.6538              6
        3510   2.024            0.0738726        0.129223     -0.566554    1.13621         nan    -14.6461              6
        3512   2.02144          0.0716316        0.100227     -0.568963    1.13602         nan    -14.6421              6
        3514   2.01887          0.0655584        0.122801     -0.571214    1.1358          nan    -14.6395              6
        3516   2.01882          0.0760473        0.136033     -0.573732    1.13556         nan    -14.6349              6
        3518   2.02289          0.0771317        0.148504     -0.576673    1.13527         nan    -14.6327              6
        3520   2.03727          0.0829963        0.155022     -0.579711    1.1351          nan    -14.6266              6
        3522   2.03853          0.0798556        0.136649     -0.582652    1.13491         nan    -14.6205              6
        3524   2.04469          0.0824317        0.169382     -0.585197    1.13479         nan    -14.613               6
        3526   2.04103          0.103728         0.198441     -0.587818    1.13447         nan    -14.6121              6
        3528   2.04499          0.114299         0.217743     -0.590663    1.13423         nan    -14.6074              6
        3530   2.06641          0.100151         0.214366     -0.593826    1.13401         nan    -14.6023              6
        3532   2.06919          0.0995392        0.208495     -0.596898    1.13375         nan    -14.5979              6
        3534   2.04481          0.124703         0.202658     -0.600265    1.1335          nan    -14.5935              6
        3536   2.01662          0.135991         0.206136     -0.60419     1.13324         nan    -14.5878              6
        3538   2.02271          0.143648         0.20629      -0.608483    1.13284         nan    -14.5865              6
        3540   2.02544          0.151012         0.220078     -0.611352    1.13245         nan    -14.5859              6
        3542   2.03729          0.16048          0.243537     -0.614194    1.13231         nan    -14.5765              6
        3544   2.0521           0.173634         0.269768     -0.617951    1.13197         nan    -14.5748              6
        3546   2.0249           0.205394         0.290716     -0.621614    1.13163         nan    -14.5741              6
        3548   1.99547          0.22318          0.322593     -0.624951    1.1314          nan    -14.5702              6
        3550   1.9642           0.205452         0.335764     -0.628658    1.13115         nan    -14.564               6
        3552   1.95941          0.186183         0.339478     -0.633754    1.13102         nan    -14.5539              6
        3554   1.93286          0.186464         0.32995      -0.641901    1.13084         nan    -14.5444              6
        3556   1.887            0.204245         0.341273     -0.647684    1.13049         nan    -14.5419              6
        3558   1.8811           0.202206         0.368814     -0.649966    1.12996         nan    -14.5452              6
        3560   1.88723          0.184371         0.382887     -0.651646    1.12972         nan    -14.5416              6
        3562   1.87816          0.173859         0.408154     -0.652787    1.12962         nan    -14.5357              6
        3564   1.84057          0.195393         0.399389     -0.654895    1.12934         nan    -14.5312              6
        3566   1.79696          0.222249         0.400885     -0.658837    1.12904         nan    -14.5286              6
        3568   1.77442          0.239939         0.427996     -0.664758    1.12884         nan    -14.5179              6
