,Name,phase,choice,vel_dettman,vel_dettman_err,vel_siebert,vel_siebert_err
132,2017cjv,1.9147,dettman,-11.06816,0.22920,,
133,asassn-15mg,-4.8850283,dettman,-10.65019,0.22988,,
134,asassn-15pn,4.4126,dettman,-10.93839,0.24373,,
135,asassn-15pr,0.8731,dettman,-11.60719,0.23823,,
136,asassn-15ss,1.5199535,dettman,-10.61304,0.22066,,
137,asassn-15uv,-5.63178735249 ,dettman,-12.35241,0.22344,,
138,asassn-16ad,-4.3823090,dettman,-12.35306,0.22131,,
139,asassn-16hr,-0.0378326,dettman,-16.82654,0.93983,,
140,atlas17axb,-5.5006,dettman,-11.53246,0.22066,,
141,ps15coh,8.4007550,dettman,-10.77892,0.22077,,
142,ps16bby,-5.5067888,dettman,-10.53757,0.22039,,
143,ps16em,8.8875,dettman,-10.60943,0.22784,,
144,psnj0153424,-2.5817,dettman,-10.50841,0.22027,,
