,Host,Name,mass,mass_Burns18,mass_DES,mass_Jones18,mass_Neill,mass_PanSTARRS,mass_SDSS,mass_SNLS,mass_Wolf,masserr,subsample,symbol,vel,velerr,z,mass_Chang,mass_2MASS,mass_Conley11
351,UGC 7934,2006s,10.46,,,,10.46,,,,,0.1584512819553814,old,o,99.9,,0.03293945440081752,,,
352,NGC 3169,2003cg,10.7,,,,10.7,,,,,0.1584512819553814,old,o,99.9,,0.004469758875655237,,,
353,NGC 3873,2007ci,11.13,,,,11.13,,,,,0.1584512819553814,old,o,99.9,,0.019219963165317527,,,
354,MCG -01-4-44,1998dm,8.93,,,,8.93,,,,,0.1584512819553814,old,o,99.9,,0.006591226521115485,,,
355,UGC 1666,2005lz,10.776,,11.300999999999998,10.251,,,,,,0.5385396921304868,old,o,99.9,,0.044341000000000005,,,
356,UGC 3845,1997do,9.3,,,,9.3,,,,,0.1584512819553814,old,o,-99.9,,0.010473912589221977,,,
357,Anon Gal,2006td,9.2295,,9.343,9.116,,,,,,0.16517339374124404,old,o,-10.81,0.3,0.015880000000000002,,,
358,MCG +05-54-41,2006en,10.841000000000001,,,10.992,10.69,,,,,0.1928756075816748,old,o,99.9,,0.031938999999999995,,,
359,NGC 382,2000dk,11.050999999999998,,,10.562,11.54,,,,,0.5035086891007938,old,o,99.9,,0.01645138117517286,,,
360,UGC 52,2002hw,10.38,,,,10.38,,,,,0.1584512819553814,old,o,99.9,,0.016331298100901524,,,
361,UGC 3576,1998ec,10.57,,,,10.57,,,,,0.1584512819553814,old,o,-99.9,,0.02012058622235253,,,
362,UGC 12133,1998eg,11.32,,,,11.32,,,,,0.1584512819553814,old,o,99.9,99.9,0.02353628255718161,,,
363,UGC 139,1998dk,9.676,,,9.676,,,,,,0.1584512819553814,old,o,-99.9,,0.012038328195701309,,,
364,MCG +11-8-12,2006n,10.642666666666667,,10.544,10.564,10.82,,,,,0.17375333729808534,old,o,-11.32,0.23,0.014269871992576948,,,
365,MCG +11-19-25,2000cf,9.6,,,9.6,,,,,,0.1584512819553814,old,o,-9.95,0.24,0.03645855560515802,,,
366,UGC 10743,2002er,10.56,,,,10.56,,,,,0.1584512819553814,old,o,99.9,,0.009353137229356184,,,
367,UGC 4195,2000ce,10.5,,,,10.5,,,,,0.1584512819553814,old,o,99.9,,0.016478066302788714,,,
368,NGC 673,1996bo,10.37,,,,10.37,,,,,0.1584512819553814,old,o,-12.25,0.24,0.01632129117804558,,,
369,NGC 4501 (M88),1999cl,11.03,,,,11.03,,,,,0.1584512819553814,old,o,-99.9,,0.003932720682386213,,,
370,NGC 495,1999ej,10.581,,,10.581,,,,,,0.1584512819553814,old,o,99.9,,0.015444017607674441,,,
371,UGC 14,2006sr,10.743,,10.757,10.772,10.7,,,,,0.12394353553130563,old,o,-12.39,0.23,0.023216061025791386,,,
372,UGC 4322,2002he,10.993500000000001,,10.867,,11.12,,,,,0.17436240993975677,old,o,-12.62,0.22,0.024840518169406384,,,
373,MCG+05-43-16,2007co,10.205,,10.366,10.044,,,,,,0.20080089641234142,old,o,-12.02,0.23,0.02656170890062885,,,
374,UGC 11064,2000cn,10.337,,,10.337,,,,,,0.1584512819553814,old,o,99.9,,0.023209389743887417,,,
375,NGC 5468,2002cr,9.48,,,,9.48,,,,,0.1584512819553814,old,o,-10.05,0.23,0.010380514642566492,,,
376,NGC 4172,2006az,11.28,,,,11.28,,,,,0.1584512819553814,old,o,-10.72,0.26,0.03147177238194565,,,
377,NGC 523,2001en,10.623666666666667,,11.133,10.358,10.38,,,,,0.3797247541165684,old,o,-13.32,0.22,0.01493700018297325,,,
378,NGC 6916,2002cd,10.68,,,,10.68,,,,,0.1584512819553814,old,o,-99.9,,0.009736735938834059,,,
379,MCG -02-16-2,2003kf,9.58,,,,9.58,,,,,0.1584512819553814,old,o,99.9,,0.00695481138488147,,,
380,NGC 3190,2002bo,10.83,,,,10.83,,,,,0.1584512819553814,old,o,-13.11,0.22,0.005160236552715414,,,
381,Anon Gal,2002bf,10.684333333333333,,10.741,10.692,10.62,,,,,0.1298828532007038,old,o,-99.9,,0.02474378458179892,,,
382,UGC 7357,2006cp,10.031500000000001,,10.183,,9.88,,,,,0.19326730194215433,old,o,-13.48,0.24,0.02331946589530281,,,
383,NGC 7541,1998dh,10.66,,,,10.66,,,,,0.1584512819553814,old,o,-12.04,0.22,0.009226382873180887,,,
384,NGC 3978,2003cq,11.390999999999998,,,11.390999999999998,,,,,,0.1584512819553814,old,o,-99.9,99.90024224194855,0.033746679511197045,,,
385,IC 4423,2001ay,10.62,,,,10.62,,,,,0.1584512819553814,old,o,-99.9,,0.030254000000000007,,,
386,UGC 9612,2007o,10.857999999999999,,10.988,10.886,10.7,,,,,0.16916264363032407,old,o,99.9,,0.0365886456022853,,,
387,NGC 5005,1996ai,10.93,,,,10.93,,,,,0.1584512819553814,old,o,99.9,,0.0039160424776263055,,,
388,NGC 2623,1999gd,10.38,,,,10.38,,,,,0.1584512819553814,old,o,99.9,,0.019263326497693283,,,
389,NGC 4619,2006ac,10.991000000000001,,10.984000000000002,11.069,10.92,,,,,0.1346278822037497,old,o,-13.85,0.22,0.02394990203522732,,,
390,NGC 7780,2001da,10.337499999999999,,,10.325,10.35,,,,,0.12064928512013655,old,o,-11.53,0.22,0.015977720159991483,,,
391,NGC 2441,1995e,10.66,,,,10.66,,,,,0.1584512819553814,old,o,99.9,,0.011661400768127396,,,
392,UGC 4614,2005ms,10.499500000000001,,10.679,,10.32,,,,,0.21591722951168116,old,o,99.9,,0.0259212658378484,,,
393,UGC 1087,1999dk,10.2,,,,10.2,,,,,0.1584512819553814,old,o,-99.9,,0.013946314820234736,,,
397,,1998bu,11.26,,,,11.26,,,,,0.1584512819553814,old,o,99.9,,0.002701869171105032,,,
398,,1999ee,10.72,,,,10.72,,,,,0.1584512819553814,old,o,99.9,,0.010550632331117549,,,
399,,2000ca,10.04,,,,10.04,,,,,0.1584512819553814,old,o,99.9,,0.02361633794002917,,,
400,,2001ba,10.98,,,,10.98,,,,,0.1584512819553814,old,o,99.9,,0.0306678829125181,,,
401,,1992a,11.33,,,,11.33,,,,,0.1584512819553814,old,o,-99.9,,0.004463087593751275,,,
402,,2003hx,10.02,,,,10.02,,,,,0.1584512819553814,old,o,-99.9,,0.006651268058251152,,,
