,Unnamed: 0,Name,matt_vel,matt_vel_err,kyle_vel,kyle_vel_err,phase,kyle_pvel,kyle_pvel_err,matt_pvel,matt_pvel_err,choice,source,new_vel,new_vel_err,new_vel_unphased,new_vel_err_unphased
62,62,2008gl,-12.07,0.04,-11.8621791,0.054815677,-1.972475564,-11.6823455,0.226726175,-11.8777552,0.223606798,matt,CSP,-11.8777552,0.223606798,-12.07,0.04
57,57,2008gp,-11.1,0.17,-11.34242671,0.034587795,-6.816242341,-10.89400651,0.222702302,-10.69521185,0.278028775,kyle,CSP,,,,
85,86,2008hj,-11.29,0.21,-11.36046378,0.084634338,3.287453134,-11.65756246,0.235717991,-11.57875661,0.304138127,matt,Silverman2012,-11.57875661,0.304138127,-11.29,0.21
13,13,2008hu,-12.38,0.08,-11.88094159,0.072232668,3.747292482,-12.29672013,0.231554655,-12.86425944,0.234093998,avg,CSP,-12.58048978,0.232824327,-12.13047079,0.076116334
38,38,2008hv,-11,0,-10.89773945,0.028212443,-1.669425639,-10.79332511,0.221801582,-10.89036901,0.22,avg,CSP,-10.84184706,0.220900791,-10.94886973,0.014106221
22,22,2008ia,-11.5,0.12,-11.39669964,0.04238641,-2.621286136,-11.19854811,0.224045995,-11.29380801,0.250599282,kyle,CSP,-11.19854811,0.224045995,-11.39669964,0.04238641
6,6,2008r,-10.56,0.08,-6.192822319,0.01404021,1.969447588,-6.012841382,0.220447562,-10.67572124,0.234093998,matt,CSP,-10.67572124,0.234093998,-10.56,0.08
65,65,2009aa,-10.51,0.14,-10.14949494,0.026270156,-0.106139701,-10.14507196,0.221562905,-10.50434912,0.260768096,matt,CSP,-10.50434912,0.260768096,-10.51,0.14
63,63,2009ab,-10.7,0.14,-10.19810777,0.035217994,2.648407183,-10.32370389,0.222801048,-10.87238711,0.260768096,matt,CSP,-10.87238711,0.260768096,-10.7,0.14
1,1,2009ad,-10.22,0.06,-10.37903101,0.039683147,-1.482665661,-10.30940101,0.223550335,-10.15761647,0.228035085,avg,CSP,-10.23350874,0.22579271,-10.2995155,0.049841574
67,67,2009ag,-10.12,0.05,-9.928552965,0.038769741,-1.425188397,-9.881269657,0.223390002,-10.06431648,0.225610283,avg,CSP,-9.972793067,0.224500143,-10.02427648,0.04438487
53,53,2009d,-10.31,0.07,-10.43810048,0.05557441,-1.276656911,-10.37543083,0.226910809,-10.25238842,0.230867928,avg,CSP,-10.31390963,0.228889368,-10.37405024,0.062787205
75,75,2009dc,-7.75,0.05,-7.884225835,0.124680557,1.063246524,-7.849955889,0.252873963,-7.710971717,0.225610283,kyle,Taubenberger2011,-7.849955889,0.252873963,-7.884225835,0.124680557
30,30,2009f,-11.1,0.12,-10.39158559,0.046582763,-1.083337686,-10.3396538,0.224877642,-11.02418923,0.250599282,matt,CSP,-11.02418923,0.250599282,-11.1,0.12
36,36,2009y,-14.24,0.14,-15.19336745,2.537066012,2.290102543,-15.69830141,2.546586726,-14.66903447,0.260768096,matt,CSP,-14.66903447,0.260768096,-14.24,0.14
300,300,2004s,-9.6,0.08,-9.98,0.1,-0.1888195,-9.9731768,0.24166092,-9.5954732,0.234094,kyle,Krisciunas2007,-9.9731768,0.24166092,-9.98,0.1
