,Name,Filter,mwebv_corr,ra,dec,mwebv
12,2005eq,CSP-Jdw,0.05191801758900816,03:08:49.310,-07:01:59.70,0.06362684899560904
12,2005eq,CSP-Hdw,0.03338331195281086,03:08:49.310,-07:01:59.70,0.06362684899560904
13,2005hc,CSP-u,0.13373799610417014,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-g,0.10547014772292052,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-r,0.07304659349851672,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-i,0.053103487530965054,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-B,0.1146475658506283,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-V0,0.0886617104023717,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-Y,0.031247217703864294,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-J,0.022721414481770452,01:56:47.940,-00:12:49.21,0.0281409738922259
13,2005hc,CSP-H,0.014744164124866899,01:56:47.940,-00:12:49.21,0.0281409738922259
14,2005hj,CSP-u,0.1583094495289732,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-g,0.12483605675804377,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-r,0.08646404099949057,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-i,0.06285877195257861,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-B,0.13570606012564213,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-V0,0.10494721044799782,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-Y,0.036988202349679256,01:26:48.269,-01:14:16.80,0.033311703576352505
14,2005hj,CSP-J,0.02689601192462021,01:26:48.269,-01:14:16.80,0.033311703576352505
15,2005iq,CSP-u,0.09032926038168476,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-g,0.07124863646121771,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-r,0.04934040326708633,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-i,0.03586847372392654,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-B,0.07744075586724897,23:58:32.501,-18:42:33.01,0.01900652434471278
